block_id,variant_count,variants,top_level_fields,theme_renderer_case,dynamic_variant_source,output_structure
accordions,4,default|accordion|grouped|compact,heading|style|items,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
best-time-to-visit,4,default|seasons|monthly|compact,heading|style|intro|best_months|weather_summary|seasons|tips,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
breadcrumb,2,default|compact,source|items|show_current|style,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
brochure-cta,4,default|banner|card|inline,heading|style|description|file_url|button_label|secondary_label|secondary_url|form_note,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
cta,5,default|inline|banner|split|card,heading|style|subheading|button|secondary_button|alignment|show_badges|badges,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
departure-dates,4,default|table|cards|compact,heading|style|intro|dates|footnote,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
destination-cards,5,default|grid|carousel-safe|list|featured,heading|style|description|source|items|layout|columns|limit|show_excerpt|show_count|image_ratio,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
expert-box,4,default|card|profile|compact,heading|style|name|role|bio|image|phone|email|cta_label|cta_url|specialties,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
faq,4,default|accordion|grouped|compact,heading|style|items,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
featured-listings,5,default|grid|carousel-safe|list|featured,heading|style|description|post_type|items|layout|columns|limit|show_excerpt|show_price|show_rating|image_ratio,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
gallery,4,default|grid|masonry-safe|slider-safe,heading|style|images|layout|columns,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
hero,6,default|full-width|image-left|image-right|split-overlay|centered-minimal,heading|style|subheading|background_image|cta|enable_search,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
icon-list,4,default|grid|compact|cards,heading|style|items|columns,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
inclusions-exclusions,4,default|two-column|compact|cards,heading|style|intro|inclusions|exclusions|note,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
itinerary,4,default|timeline|cards|compact,heading|style|days,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
map,3,default|wide|card,heading|style|address|embed_url|height|link_label,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
nearby-attractions,4,default|grid|list|compact,heading|style|intro|source|items|limit,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
package-tiers,4,default|comparison|cards|compact,heading|style|intro|tiers|note,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
pricing-summary,4,default|compact|featured|comparison,heading|style|currency|base_price|items|note,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
related-destinations,5,default|grid|carousel-safe|list|featured,heading|style|limit|layout|show_excerpt,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
related-tours,5,default|grid|carousel-safe|list|featured,heading|style|limit|layout|show_excerpt,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
reviews-summary,4,default|summary|cards|compact,heading|style|average_rating|review_count|rating_source|summary|breakdown|testimonials,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
rich-text,5,default|article|lead|panel|quote,heading|style|content|alignment|width,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
route-timeline,4,default|timeline|cards|compact,heading|style|intro|stops,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
section-wrapper,4,default|band|split|grid,heading|style|description|layout|columns|spacing|align|background,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
stats,4,default|grid|strip|cards,heading|style|items|columns,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
sticky-booking-cta,4,default|bottom-bar|side-card|inline,heading|style|description|price_from|currency|primary_label|primary_url|secondary_label|secondary_url|phone_label|phone_url|note|cta_title,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
tabs,4,default|pills|underline|boxed,heading|style|items,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
tour-cards,5,default|grid|carousel-safe|list|featured,heading|style|description|source|items|destination|layout|columns|limit|show_price|show_rating|show_excerpt|show_meta|cta_label|image_ratio,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
tour-facts,4,default|grid|compact|icons,heading|style|intro|facts,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
trust,4,default|logo-strip|testimonial-cards|stats,heading|style|rating|source|layout|items|logos,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
visa-requirements,4,default|checklist|cards|compact,heading|style|intro|requirements|documents|disclaimer|last_updated,yes,data.style.variant,reference .block > .variant-stack > .variant > .variant__body + reference body classes
