block_folder,block_id,render_wrapper_block_class,variant,reference_id,expected_wrapper_selector,selector_in_replacement_css,renderable_element_mapping,clone_status,culprit_fixed
accordions,accordions,igp-block--accordions,default,06-interactive-utility.html#accordions:default,.igp-block--accordions.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
accordions,accordions,igp-block--accordions,accordion,06-interactive-utility.html#accordions:accordion,.igp-block--accordions.igp-variant--accordion,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
accordions,accordions,igp-block--accordions,grouped,06-interactive-utility.html#accordions:grouped,.igp-block--accordions.igp-variant--grouped,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
accordions,accordions,igp-block--accordions,compact,06-interactive-utility.html#accordions:compact,.igp-block--accordions.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
best-time-to-visit,best_time_to_visit,igp-block--best-time-to-visit,default,03-visual-proof-local-context.html#best-time-to-visit:default,.igp-block--best-time-to-visit.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
best-time-to-visit,best_time_to_visit,igp-block--best-time-to-visit,seasons,03-visual-proof-local-context.html#best-time-to-visit:seasons,.igp-block--best-time-to-visit.igp-variant--seasons,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
best-time-to-visit,best_time_to_visit,igp-block--best-time-to-visit,monthly,03-visual-proof-local-context.html#best-time-to-visit:monthly,.igp-block--best-time-to-visit.igp-variant--monthly,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
best-time-to-visit,best_time_to_visit,igp-block--best-time-to-visit,compact,03-visual-proof-local-context.html#best-time-to-visit:compact,.igp-block--best-time-to-visit.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
breadcrumb,breadcrumb,igp-block--breadcrumb,default,05-pricing-location-booking.html#breadcrumb:default,.igp-block--breadcrumb.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
breadcrumb,breadcrumb,igp-block--breadcrumb,compact,05-pricing-location-booking.html#breadcrumb:compact,.igp-block--breadcrumb.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
