block,variant,reference_id,reference_label,igp_target_selector,pre_fix_explicit_selector_present,pre_fix_exact_clone_pass,post_fix_clone_binding,post_fix_status
hero,default,01-foundation-conversion.html#hero:default,Default overlay hero,.igp-block--hero.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
hero,full-width,01-foundation-conversion.html#hero:full-width,Full-width cinematic hero,.igp-block--hero.igp-variant--full-width,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
hero,image-left,01-foundation-conversion.html#hero:image-left,Image-left split hero,.igp-block--hero.igp-variant--image-left,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
hero,image-right,01-foundation-conversion.html#hero:image-right,Image-right split hero,.igp-block--hero.igp-variant--image-right,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
hero,split-overlay,01-foundation-conversion.html#hero:split-overlay,Split overlay panel,.igp-block--hero.igp-variant--split-overlay,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
hero,centered-minimal,01-foundation-conversion.html#hero:centered-minimal,Centered minimal hero,.igp-block--hero.igp-variant--centered-minimal,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
cta,default,01-foundation-conversion.html#cta:default,Default centered CTA,.igp-block--cta.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
cta,inline,01-foundation-conversion.html#cta:inline,Inline CTA strip,.igp-block--cta.igp-variant--inline,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
cta,banner,01-foundation-conversion.html#cta:banner,Command banner CTA,.igp-block--cta.igp-variant--banner,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
cta,split,01-foundation-conversion.html#cta:split,Split decision CTA,.igp-block--cta.igp-variant--split,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
cta,card,01-foundation-conversion.html#cta:card,Elevated CTA card,.igp-block--cta.igp-variant--card,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
rich-text,default,01-foundation-conversion.html#rich-text:default,Default readable text,.igp-block--rich-text.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
rich-text,article,01-foundation-conversion.html#rich-text:article,Editorial article layout,.igp-block--rich-text.igp-variant--article,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
rich-text,lead,01-foundation-conversion.html#rich-text:lead,Lead statement section,.igp-block--rich-text.igp-variant--lead,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
rich-text,panel,01-foundation-conversion.html#rich-text:panel,Insight panel,.igp-block--rich-text.igp-variant--panel,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
rich-text,quote,01-foundation-conversion.html#rich-text:quote,Quote treatment,.igp-block--rich-text.igp-variant--quote,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
section-wrapper,default,01-foundation-conversion.html#section-wrapper:default,Default wrapper,.igp-block--section.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
section-wrapper,band,01-foundation-conversion.html#section-wrapper:band,Dark chapter band,.igp-block--section.igp-variant--band,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
section-wrapper,split,01-foundation-conversion.html#section-wrapper:split,Split context wrapper,.igp-block--section.igp-variant--split,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
section-wrapper,grid,01-foundation-conversion.html#section-wrapper:grid,Grid wrapper,.igp-block--section.igp-variant--grid,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
trust,default,01-foundation-conversion.html#trust:default,Default trust summary,.igp-block--trust.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
trust,logo-strip,01-foundation-conversion.html#trust:logo-strip,Logo strip,.igp-block--trust.igp-variant--logo-strip,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
trust,testimonial-cards,01-foundation-conversion.html#trust:testimonial-cards,Testimonial cards,.igp-block--trust.igp-variant--testimonial-cards,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
trust,stats,01-foundation-conversion.html#trust:stats,Proof board stats,.igp-block--trust.igp-variant--stats,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
brochure-cta,default,01-foundation-conversion.html#brochure-cta:default,Default brochure CTA,.igp-block--brochure-cta.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
brochure-cta,banner,01-foundation-conversion.html#brochure-cta:banner,Brochure banner,.igp-block--brochure-cta.igp-variant--banner,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
brochure-cta,card,01-foundation-conversion.html#brochure-cta:card,Brochure card,.igp-block--brochure-cta.igp-variant--card,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
brochure-cta,inline,01-foundation-conversion.html#brochure-cta:inline,Inline brochure CTA,.igp-block--brochure-cta.igp-variant--inline,yes,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-cards,default,02-listing-card-systems.html#tour-cards:default,Tour Cards default cards,.igp-block--tour-cards.igp-variant--default,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-cards,grid,02-listing-card-systems.html#tour-cards:grid,Grid layout,.igp-block--tour-cards.igp-variant--grid,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-cards,carousel-safe,02-listing-card-systems.html#tour-cards:carousel-safe,Carousel-safe rail,.igp-block--tour-cards.igp-variant--carousel-safe,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-cards,list,02-listing-card-systems.html#tour-cards:list,List/results layout,.igp-block--tour-cards.igp-variant--list,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
tour-cards,featured,02-listing-card-systems.html#tour-cards:featured,Featured editorial layout,.igp-block--tour-cards.igp-variant--featured,no,no,yes,PASS — reference CSS cloned and bound to IGP Pro selector
