renderer_class,covered_by_css_or_clone_adapter,note
igp-card-columns,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-accordions,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-accordions__content,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-accordions__heading,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-accordions__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-accordions__items,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-best-time-to-visit,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-best-time-to-visit__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-best-time-to-visit__seasons,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-best-time-to-visit__summary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-best-time-to-visit__tips,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-block,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
