block_id,folder,schema_fields,renderable_fields,exact_or_semantic,parent_mapped,style_controls,control_fields,variants,reference_ids
accordions,accordions,15,8,8,0,7,0,"default, accordion, grouped, compact",06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
best_time_to_visit,best-time-to-visit,23,16,16,0,7,0,"default, seasons, monthly, compact",03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
breadcrumb,breadcrumb,12,5,5,0,7,0,"default, compact",05-pricing-location-booking.html#breadcrumb:default; 05-pricing-location-booking.html#breadcrumb:compact
brochure_cta,brochure-cta,18,11,11,0,7,0,"default, banner, card, inline",01-foundation-conversion.html#brochure-cta:default; 01-foundation-conversion.html#brochure-cta:banner; 01-foundation-conversion.html#brochure-cta:card; 01-foundation-conversion.html#brochure-cta:inline
cta,cta,22,15,15,0,7,0,"default, inline, banner, split, card",01-foundation-conversion.html#cta:default; 01-foundation-conversion.html#cta:inline; 01-foundation-conversion.html#cta:banner; 01-foundation-conversion.html#cta:split; 01-foundation-conversion.html#cta:card
departure_dates,departure-dates,23,16,16,0,7,0,"default, table, cards, compact",04-journey-logistics.html#departure-dates:default; 04-journey-logistics.html#departure-dates:table; 04-journey-logistics.html#departure-dates:cards; 04-journey-logistics.html#departure-dates:compact
destination_cards,destination-cards,21,14,14,0,7,0,"default, grid, carousel-safe, list, featured",02-listing-card-systems.html#destination-cards:default; 02-listing-card-systems.html#destination-cards:grid; 02-listing-card-systems.html#destination-cards:carousel-safe; 02-listing-card-systems.html#destination-cards:list; 02-listing-card-systems.html#destination-cards:featured
expert_box,expert-box,22,15,15,0,7,0,"default, card, profile, compact",03-visual-proof-local-context.html#expert-box:default; 03-visual-proof-local-context.html#expert-box:card; 03-visual-proof-local-context.html#expert-box:profile; 03-visual-proof-local-context.html#expert-box:compact
faq,faq,15,8,8,0,7,0,"default, accordion, grouped, compact",06-interactive-utility.html#faq:default; 06-interactive-utility.html#faq:accordion; 06-interactive-utility.html#faq:grouped; 06-interactive-utility.html#faq:compact
featured_listings,featured-listings,22,15,15,0,7,0,"default, grid, carousel-safe, list, featured",02-listing-card-systems.html#featured-listings:default; 02-listing-card-systems.html#featured-listings:grid; 02-listing-card-systems.html#featured-listings:carousel-safe; 02-listing-card-systems.html#featured-listings:list; 02-listing-card-systems.html#featured-listings:featured
gallery,gallery,18,11,11,0,7,0,"default, grid, masonry-safe, slider-safe",03-visual-proof-local-context.html#gallery:default; 03-visual-proof-local-context.html#gallery:grid; 03-visual-proof-local-context.html#gallery:masonry-safe; 03-visual-proof-local-context.html#gallery:slider-safe
hero,hero,18,11,11,0,7,0,"default, full-width, image-left, image-right, split-overlay, centered-minimal",01-foundation-conversion.html#hero:default; 01-foundation-conversion.html#hero:full-width; 01-foundation-conversion.html#hero:image-left; 01-foundation-conversion.html#hero:image-right; 01-foundation-conversion.html#hero:split-overlay; 01-foundation-conversion.html#hero:centered-minimal
icon_list,icon-list,17,10,10,0,7,0,"default, grid, compact, cards",06-interactive-utility.html#icon-list:default; 06-interactive-utility.html#icon-list:grid; 06-interactive-utility.html#icon-list:compact; 06-interactive-utility.html#icon-list:cards
inclusions_exclusions,inclusions-exclusions,20,13,13,0,7,0,"default, two-column, compact, cards",04-journey-logistics.html#inclusions-exclusions:default; 04-journey-logistics.html#inclusions-exclusions:two-column; 04-journey-logistics.html#inclusions-exclusions:compact; 04-journey-logistics.html#inclusions-exclusions:cards
itinerary,itinerary,17,10,10,0,7,0,"default, timeline, cards, compact",04-journey-logistics.html#itinerary:default; 04-journey-logistics.html#itinerary:timeline; 04-journey-logistics.html#itinerary:cards; 04-journey-logistics.html#itinerary:compact
map,map,16,9,9,0,7,0,"default, wide, card",05-pricing-location-booking.html#map:default; 05-pricing-location-booking.html#map:wide; 05-pricing-location-booking.html#map:card
nearby_attractions,nearby-attractions,22,15,15,0,7,0,"default, grid, list, compact",03-visual-proof-local-context.html#nearby-attractions:default; 03-visual-proof-local-context.html#nearby-attractions:grid; 03-visual-proof-local-context.html#nearby-attractions:list; 03-visual-proof-local-context.html#nearby-attractions:compact
package_tiers,package-tiers,25,18,18,0,7,0,"default, comparison, cards, compact",05-pricing-location-booking.html#package-tiers:default; 05-pricing-location-booking.html#package-tiers:comparison; 05-pricing-location-booking.html#package-tiers:cards; 05-pricing-location-booking.html#package-tiers:compact
pricing_summary,pricing-summary,18,11,11,0,7,0,"default, compact, featured, comparison",05-pricing-location-booking.html#pricing-summary:default; 05-pricing-location-booking.html#pricing-summary:compact; 05-pricing-location-booking.html#pricing-summary:featured; 05-pricing-location-booking.html#pricing-summary:comparison
related_destinations,related-destinations,15,8,8,0,7,0,"default, grid, carousel-safe, list, featured",02-listing-card-systems.html#related-destinations:default; 02-listing-card-systems.html#related-destinations:grid; 02-listing-card-systems.html#related-destinations:carousel-safe; 02-listing-card-systems.html#related-destinations:list; 02-listing-card-systems.html#related-destinations:featured
related_tours,related-tours,15,8,8,0,7,0,"default, grid, carousel-safe, list, featured",02-listing-card-systems.html#related-tours:default; 02-listing-card-systems.html#related-tours:grid; 02-listing-card-systems.html#related-tours:carousel-safe; 02-listing-card-systems.html#related-tours:list; 02-listing-card-systems.html#related-tours:featured
reviews_summary,reviews-summary,24,17,17,0,7,0,"default, summary, cards, compact",03-visual-proof-local-context.html#reviews-summary:default; 03-visual-proof-local-context.html#reviews-summary:summary; 03-visual-proof-local-context.html#reviews-summary:cards; 03-visual-proof-local-context.html#reviews-summary:compact
rich_text,rich-text,15,8,8,0,7,0,"default, article, lead, panel, quote",01-foundation-conversion.html#rich-text:default; 01-foundation-conversion.html#rich-text:article; 01-foundation-conversion.html#rich-text:lead; 01-foundation-conversion.html#rich-text:panel; 01-foundation-conversion.html#rich-text:quote
route_timeline,route-timeline,21,14,14,0,7,0,"default, timeline, cards, compact",04-journey-logistics.html#route-timeline:default; 04-journey-logistics.html#route-timeline:timeline; 04-journey-logistics.html#route-timeline:cards; 04-journey-logistics.html#route-timeline:compact
