block_id,folder,field_path,type,required,status,selectors,reference_ids
accordions,accordions,heading,object,False,semantic_heading_mapped,.igp-block__header | .igp-block__heading,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,heading.text,string,False,field_class_mapped,.igp-block__heading | .igp-pro-block-title,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,heading.level,enum,False,semantic_heading_mapped,.igp-block__heading--h2 | .igp-block__heading--h3 | .igp-block__heading--h4,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,heading.eyebrow,string,False,field_class_mapped,.igp-block__eyebrow | .igp-pro-block-eyebrow,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,heading.visible,boolean,False,semantic_heading_mapped,.igp-block__header | .igp-block__heading,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style,object,False,style_object_mapped,.igp-block--accordions,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style.variant,enum,False,style_class_mapped,.igp-variant--<schema variant>,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style.density,enum,False,style_class_mapped,.igp-density--compact | .igp-density--comfortable | .igp-density--spacious,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style.theme,enum,False,style_class_mapped,.igp-theme--default | .igp-theme--brand | .igp-theme--neutral | .igp-theme--light | .igp-theme--dark | .igp-theme--accent | .igp-theme--muted,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style.container,enum,False,style_class_mapped,.igp-container--narrow | .igp-container--default | .igp-container--wide | .igp-container--full,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style.surface,enum,False,style_class_mapped,.igp-surface--default | .igp-surface--flat | .igp-surface--elevated | .igp-surface--card | .igp-surface--tinted | .igp-surface--transparent,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,style.media_position,enum,False,style_class_mapped,.igp-media-position--auto | .igp-media-position--left | .igp-media-position--right | .igp-media-position--top | .igp-media-position--bottom | .igp-media-position--background | .igp-media-position--none,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,items,repeater,False,field_class_mapped,.igp-pro-accordions__items,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,items[].heading,string,False,field_class_mapped,.igp-pro-accordions__heading,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
accordions,accordions,items[].content,text,False,field_class_mapped,.igp-pro-accordions__content,06-interactive-utility.html#accordions:default; 06-interactive-utility.html#accordions:accordion; 06-interactive-utility.html#accordions:grouped; 06-interactive-utility.html#accordions:compact
best_time_to_visit,best-time-to-visit,heading,object,True,semantic_heading_mapped,.igp-block__header | .igp-block__heading,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,heading.text,string,True,field_class_mapped,.igp-block__heading | .igp-pro-block-title,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,heading.level,enum,False,semantic_heading_mapped,.igp-block__heading--h2 | .igp-block__heading--h3 | .igp-block__heading--h4,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,heading.eyebrow,string,False,field_class_mapped,.igp-block__eyebrow | .igp-pro-block-eyebrow,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,heading.visible,boolean,False,semantic_heading_mapped,.igp-block__header | .igp-block__heading,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style,object,False,style_object_mapped,.igp-block--best-time-to-visit,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style.variant,enum,False,style_class_mapped,.igp-variant--<schema variant>,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style.density,enum,False,style_class_mapped,.igp-density--compact | .igp-density--comfortable | .igp-density--spacious,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style.theme,enum,False,style_class_mapped,.igp-theme--default | .igp-theme--brand | .igp-theme--neutral | .igp-theme--light | .igp-theme--dark | .igp-theme--accent | .igp-theme--muted,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style.container,enum,False,style_class_mapped,.igp-container--narrow | .igp-container--default | .igp-container--wide | .igp-container--full,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style.surface,enum,False,style_class_mapped,.igp-surface--default | .igp-surface--flat | .igp-surface--elevated | .igp-surface--card | .igp-surface--tinted | .igp-surface--transparent,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,style.media_position,enum,False,style_class_mapped,.igp-media-position--auto | .igp-media-position--left | .igp-media-position--right | .igp-media-position--top | .igp-media-position--bottom | .igp-media-position--background | .igp-media-position--none,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,intro,text,False,field_class_mapped,.igp-pro-best-time-to-visit__intro,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,best_months,string,False,field_class_mapped,.igp-pro-best-time-to-visit__summary,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,weather_summary,text,False,field_class_mapped,.igp-pro-best-time-to-visit__summary,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,seasons,repeater,False,field_class_mapped,.igp-pro-best-time-to-visit__seasons,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
best_time_to_visit,best-time-to-visit,seasons[].name,string,True,field_class_mapped,.igp-pro-season-card h3,03-visual-proof-local-context.html#best-time-to-visit:default; 03-visual-proof-local-context.html#best-time-to-visit:seasons; 03-visual-proof-local-context.html#best-time-to-visit:monthly; 03-visual-proof-local-context.html#best-time-to-visit:compact
